hypothesis,evidences,label
3/112 patients (2.68%) in NCT00509769 had Diabetes insipidus  ,"[""Adverse Events 1:"", ""  Total: 30/112 (26.79%)"", ""  Thrombocytopenia 1/112 (0.89%)"", ""  Dysphagia 1/112 (0.89%)"", ""  Haemorrhoidal haemorrhage 1/112 (0.89%)"", ""  Oesophageal stenosis 1/112 (0.89%)"", ""  Upper gastrointestinal haemorrhage 1/112 (0.89%)"", ""  Asthenia 1/112 (0.89%)"", ""  Disease progression 1/112 (0.89%)"", ""  Hepatotoxicity 1/112 (0.89%)"", ""  Cellulitis 3/112 (2.68%)"", ""  Pneumonia 2/112 (1.79%)"", ""  Osteomyelitis 1/112 (0.89%)""]",Contradiction
"Patients with Leukemia, Hepatitis or Cataracts cannot be included in NCT02600923.","[""Inclusion Criteria:"", ""  Adult women with proven diagnosis of advanced adenocarcinoma of the breast (locoregional recurrent or metastatic disease)."", ""  Women who are not of childbearing potential."", ""  ER-positive and/or Progesterone receptor (PgR)-positive tumor based on local laboratory results (test as per local practice)."", ""  HER2-negative breast cancer based on local laboratory results (test as per local practice or local guidelines)."", ""  Patients must be appropriate candidates for letrozole therapy."", ""  Eastern Cooperative Oncology Group (ECOG) performance status 0-2."", ""  Adequate bone marrow function."", ""  Adequate liver function"", ""  Adequate renal function."", ""Exclusion Criteria:"", ""  Known hypersensitivity to letrozole, or any of its excipients, or to any palbociclib excipients."", ""  Current use of food or drugs known to be potent inhibitors or inducers of CYP3A4 isoenzymes within 7 days prior to study entry."", ""  Prior treatment with any CDK inhibitor."", ""  Previous participation in a palbociclib clinical study."", ""  Participation in other studies involving investigational drug(s) within 2 weeks prior to study entry and/or during study participation."", ""  QTc >480 msec; history of QT syndrome, Brugada syndrome or known history of QTc prolongation, or Torsade de Pointes."", ""  High cardiovascular risk, including, but not limited to recent myocardial infarction, severe/unstable angina and severe cardiac dysrhythmias in the past 6 months prior to enrollment."", ""  Diagnosis of any second invasive malignancy within the last 3 years prior to enrollment. Note: patients with adequately treated basal cell or squamous cell skin cancer, a history of intraepithelial neoplasia or in situ disease (eg, carcinoma in situ of the cervix or melanoma in situ) may enter."", ""  Active uncontrolled or symptomatic brain metastases. Previously treated and clinically stable, brain metastases are permitted."", ""  Other severe acute or chronic medical or psychiatric conditions."", ""  Patients who are investigational site staff members directly involved in the conduct of the study and their family members, site staff members otherwise supervised by the investigator, or patients who are Pfizer employees directly involved in the conduct of the study.""]",Contradiction
NCT00121134 requires participants to have undergone PTR.,"[""Inclusion Criteria:"", ""  Patients must have completed definitive resection of primary tumor with adequate excision of gross disease.""]",Entailment
"Ae-Cha is a 32 year old Korean woman with an inoperable breast cancer, she is ineligible for both NCT01299038 and NCT00248170.","[""Inclusion Criteria:"", ""  Recent primary surgery for breast cancer""]",Entailment
There were 80% more cases of embolisms in cohort 2 of NCT00129935 than cohort 1.,"[""Adverse Events 1:"", ""  Total: 111/669 (16.59%)"", ""  Leukocytes *  [1]1/669 (0.15%)"", ""  Hemoglobin *  [1]1/669 (0.15%)"", ""  Hemoglobin *  [2]0/669 (0.00%)"", ""  CNS cerebrovascular ischemia *  [1]0/669 (0.00%)"", ""  CNS cerebrovascular ischemia *  [3]0/669 (0.00%)"", ""  Heart Failure *  [1]3/669 (0.45%)"", ""  Thrombosis/embolism *  [1]1/669 (0.15%)"", ""  Thrombosis/embolism *  [3]0/669 (0.00%)"", ""Adverse Events 2:"", ""  Total: 138/715 (19.30%)"", ""  Leukocytes *  [1]0/715 (0.00%)"", ""  Hemoglobin *  [1]0/715 (0.00%)"", ""  Hemoglobin *  [2]1/715 (0.14%)"", ""  CNS cerebrovascular ischemia *  [1]1/715 (0.14%)"", ""  CNS cerebrovascular ischemia *  [3]1/715 (0.14%)"", ""  Heart Failure *  [1]1/715 (0.14%)"", ""  Thrombosis/embolism *  [1]3/715 (0.42%)"", ""  Thrombosis/embolism *  [3]2/715 (0.28%)""]",Contradiction
Patients with LVEF greater than or equal to 60% are eligible for NCT00976989.,"[""Inclusion Criteria:"", ""  baseline left ventricular ejection fraction (LVEF) >/=55%""]",Entailment
INR of 1.35 is enough for participation in NCT00915603 and NCT02511730.,"[""Inclusion Criteria:"", ""  International normalized ratio (INR) <=1.5 or prothrombin time (PT)/partial""]",Contradiction
Patients with AIDS are eligible for both NCT00458237 and NCT00880464.,"[""Exclusion Criteria:"", ""  Evidence of HIV infection""]",Contradiction
Cohort 2 of NCT00303108 produced marginally better results than cohort 1.,"[""Outcome Measurement: "", ""  Objective Response Rate (ORR)"", ""  Per Response Evaluation Criteria In Solid Tumors Criteria (RECIST v1.0) for target lesions and assessed by MRI: Complete Response (CR), Disappearance of all target lesions; Partial Response (PR), >=30% decrease in the sum of the longest diameter of target lesions; Objective response (OR) = CR + PR."", ""  Time frame: From date of randomization until the date of first documented progression or date of intolerable toxicity, whichever came first, assessed up to 54 months."", ""Results 1: "", ""  Arm/Group Title: D+C and Taxane Naive"", ""  Arm/Group Description: Doxil, Carboplatin and Taxane naive"", ""  Overall Number of Participants Analyzed: 39"", ""  Measure Type: Number"", ""  Unit of Measure: percentage of participants  30.8        (17.0 to 47.6)"", ""Results 2: "", ""  Arm/Group Title: D+C and Taxane Pretreated"", ""  Arm/Group Description: Doxil, Carboplatin and Taxane pretreated"", ""  Overall Number of Participants Analyzed: 42"", ""  Measure Type: Number"", ""  Unit of Measure: percentage of participants  31.0        (17.6 to 47.1)""]",Entailment
HIV+ Patients are excluded from both NCT00458237 and NCT00880464.,"[""Exclusion Criteria:"", ""  Evidence of HIV infection""]",Entailment
Patients must have already participated in a specific clinical study to participate in NCT00971945 or NCT01027416.,"[""Inclusion Criteria:"", ""  Subjects who were confirmed to have a response after receiving at least two courses of weekly paclitaxel therapy and considered to need to continue the therapy by the investigator/subinvestigator among the patients with advanced or recurrent breast cancer who had met the selection criteria and participated in the preceding phase II clinical study""]",Contradiction
"If Hannah has been taking ketoconazole to treat athlete's foot for 6 weeks, until today, she will not be eligible for NCT00411788 for the next month.","[""Exclusion Criteria:"", ""  Use of any of these medications within 4 weeks; cyclosporine, diltiazen, ketoconazole, rifampin, fluconazole, delavirdine, nicardipine, pioglitazone, and sulfonamides, erythromycin, clarithromycin, itraconazole, erythromycin, metoclopramide, nevirapine, phenobarbital, phenytoin, indinavir, fosamprenavir, nefazadone, St Johns Wort.""]",Entailment
Patients needing active supportive care can participate in NCT00254592.,"[""Inclusion Criteria:"", ""  Patients must have a performance status of 0-2 by Zubrod criteria""]",Contradiction
Candidates with hyperparathyroidism are automatically excluded from NCT00656019.,"[""EXCLUSION CRITERIA:"", ""  History of parathyroid disease, hypercalcemia, or kidney stones.""]",Entailment
The overall most frequent adverse event in NCT00930930 was Dehydration.,"[""Adverse Events 1:"", ""  Total: 22/96 (22.92%)"", ""  Anemia 1/96 (1.04%)"", ""  lymphopenia 1/96 (1.04%)"", ""  cardiac ischemia/infarction 1/96 (1.04%)"", ""  sinus tachycardia 2/96 (2.08%)"", ""  Dehydration 5/96 (5.21%)"", ""  colitis 1/96 (1.04%)"", ""  diarrhea 5/96 (5.21%)"", ""  ileus 1/96 (1.04%)"", ""  nausea 2/96 (2.08%)"", ""  vomiting 1/96 (1.04%)"", ""  distal small bowel obstruction 1/96 (1.04%)"", ""  edema 1/96 (1.04%)"", ""  fatigue 2/96 (2.08%)"", ""Adverse Events 2:"", ""  Total: 6/49 (12.24%)"", ""  Anemia 0/49 (0.00%)"", ""  lymphopenia 0/49 (0.00%)"", ""  cardiac ischemia/infarction 0/49 (0.00%)"", ""  sinus tachycardia 0/49 (0.00%)"", ""  Dehydration 1/49 (2.04%)"", ""  colitis 0/49 (0.00%)"", ""  diarrhea 0/49 (0.00%)"", ""  ileus 0/49 (0.00%)"", ""  nausea 1/49 (2.04%)"", ""  vomiting 1/49 (2.04%)"", ""  distal small bowel obstruction 0/49 (0.00%)"", ""  edema 0/49 (0.00%)"", ""  fatigue 0/49 (0.00%)""]",Entailment
Intervention 2 of NCT01224678 resulted in a lower percentage in Mammographic Density than intervention 1.,"[""Outcome Measurement: "", ""  Percent Change (Between Baseline and Month 12) in Mammographic Density by the Boyd Method Compared Between Arms"", ""  To evaluate change in mammographic density using the Boyd method after one year of vitamin D supplementation compared to placebo in premenopausal women. The percent change in breast density will be reported here."", ""  Time frame: 12 months"", ""Results 1: "", ""  Arm/Group Title: Placebo"", ""  Arm/Group Description: Patients receive oral placebo once daily for 12 months."", ""  Overall Number of Participants Analyzed: 46"", ""  Mean (Standard Deviation)"", ""  Unit of Measure: percent change  -3.4         (7.1)"", ""Results 2: "", ""  Arm/Group Title: Vitamin D"", ""  Arm/Group Description: Patients receive oral vitamin D (2000 IU) once daily for 12 months."", ""  Overall Number of Participants Analyzed: 40"", ""  Mean (Standard Deviation)"", ""  Unit of Measure: percent change  -1.4         (11.9)""]",Entailment
"Some of the patients in NCT01565499 were recorded as having heart related adverse events, whereas many patients in NCT01234402 experienced several different breathing related issues.","[""Adverse Events 1:"", ""  Total: 6/81 (7.41%)"", ""  Colitis  [1]1/81 (1.23%)"", ""  Multiple Sclerosis Relapse 1/81 (1.23%)"", ""  Neurotoxicity  [2]2/81 (2.47%)"", ""  Community-acquired pneumonia 1/81 (1.23%)"", ""  Local Infection Reservoir Area 1/81 (1.23%)""]",Contradiction
Cohort 2 of NCT01764022 recorded 1 incident of thrombocytopenia.,"[""Adverse Events 2:"", ""  Anemia with trombocytopenia  1/110 (0.91%)""]",Entailment
Clinically anxious patients are not able to participate in NCT00228943.,"[""Exclusion Criteria:"", ""  Exclusion criteria are current depression, history of migraines or hepatitis, abnormal chemistry profile (e.g., sodium, potassium, glucose), or a positive urine drug screen for illegal substances.""]",Contradiction
"There were no depressed patients in either NCT00777101 or NCT00559845, however there was one suicide attempt in cohort 2 of NCT00559845.","[""Adverse Events 1:"", ""  Total: 31/116 (26.72%)"", ""  Neutropenia 1/116 (0.86%)"", ""  Thrombocytopenia 1/116 (0.86%)"", ""  Acute myocardial infarction 1/116 (0.86%)"", ""  Myocardial infarction 0/116 (0.00%)"", ""  Pericardial effusion 0/116 (0.00%)"", ""  Abdominal pain 3/116 (2.59%)"", ""  Ascites 1/116 (0.86%)"", ""  Diarrhoea 3/116 (2.59%)"", ""  Gingival bleeding 1/116 (0.86%)"", ""  Intestinal haemorrhage 1/116 (0.86%)"", ""  Nausea 2/116 (1.72%)"", ""Adverse Events 2:"", ""  Total: 24/115 (20.87%)"", ""  Neutropenia 1/115 (0.87%)"", ""  Thrombocytopenia 0/115 (0.00%)"", ""  Acute myocardial infarction 0/115 (0.00%)"", ""  Myocardial infarction 1/115 (0.87%)"", ""  Pericardial effusion 1/115 (0.87%)"", ""  Abdominal pain 0/115 (0.00%)"", ""  Ascites 0/115 (0.00%)"", ""  Diarrhoea 4/115 (3.48%)"", ""  Gingival bleeding 0/115 (0.00%)"", ""  Intestinal haemorrhage 0/115 (0.00%)"", ""  Nausea 3/115 (2.61%)""]",Contradiction
"NCT00191269 measured the Number of Participants With Disease Progression (PD) or Death, to evaluate the performance of its interventions.","[""Outcome Measurement: "", ""  Tumor Response"", ""  Best response recorded from the start of treatment until disease progression/recurrence using Response Evaluation Criteria In Solid Tumors (RECIST) criteria that defines when participants improve (\""respond\""), stay the same (\""stable\""), or worsen (\""progression\"") during treatment."", ""  Time frame: baseline to measured progressive disease""]",Contradiction
Both cohorts of NCT00767520 reported the same number of patients vomiting during the trial.,"[""Adverse Events 1:"", ""  Vomiting 2/79 (2.53%)"", ""Adverse Events 2:"", ""  Vomiting 2/76 (2.63%)""]",Entailment
"Between the patients in NCT00382018 and NCT03012477, only 1.56% suffered from sepsis.","[""Adverse Events 1:"", ""  Total: 0/161 (0.00%)"", ""  Gastrointestinal-Other 0/161 (0.00%)"", ""  Dehydration 0/161 (0.00%)"", ""  Renal/Genitourinary-Other 0/161 (0.00%)"", ""Adverse Events 2:"", ""  Total: 1/64 (1.56%)"", ""  Gastrointestinal-Other 1/64 (1.56%)"", ""  Dehydration 1/64 (1.56%)"", ""  Renal/Genitourinary-Other 1/64 (1.56%)""]",Contradiction
More than 20% of  patients in cohort 1 of NCT01298193 experienced adverse events.,"[""Adverse Events 1:"", ""  Total: 31/185 (16.76%)""]",Contradiction
At least 1 patient in cohort 1 of NCT01120184 suffered from a coagulation disorder.,"[""Adverse Events 1:"", ""  Hypercoagulation * 21/353 (0.28%)""]",Entailment
"There were 5 more cases of THROMBOCYTOPENIA in cohort 2 of NCT00080301, than in cohort 1.","[""Adverse Events 1:"", ""  THROMBOCYTOPENIA 2/368 (0.54%)"", ""Adverse Events 2:"", ""  THROMBOCYTOPENIA 7/369 (1.90%)""]",Entailment
7 patients in cohort 1 of NCT00452673 suffered dose-limiting toxicities.,"[""Outcome Measurement: "", ""  Number of Participants With Dose Limiting Toxicities Per Dose Level - Safety Population"", ""  Safety was assessed from first dose of study drug through at least 30 days after the last dose, until resolution of drug-related toxicity or when toxicity was deemed irreversible, whichever was longer. An adverse event (AE) was considered a dose limiting toxicity (DLT) if it occurred in the first 21 days and was at least possibly related to study drugs and were: Clinically-evident toxicity of Grade >= 3, or of Grade 2 which required interruption of treatment for >= 7 days (consecutive or non-consecutive); non-hematologic abnormal laboratory value of Grade >= 3, or hematologic toxicity of Grade 4, which persisted 7 days; any grade toxicity which in the judgment of the investigator required a dose reduction or removal from further study therapy."", ""  Time frame: Day 1 to 30 days post last dose"", ""Results 1: "", ""  Arm/Group Title: 50 mg Dasatinib + 825 mg/m^2Capecitabine"", ""  Arm/Group Description: Dose Level 1: 50 milligram (mg) dasatinib oral tablet twice daily (BID) plus 825 mg per meter squared (m^2) capecitabine oral tablet BID. Participants were treated at each dose level (DL) for minimum of 21 days before accrual to the next DL. Rules for dose escalation: If 0 dose level toxicity (DLT) was observed in the first 3 participants in a cohort, the next higher cohort was opened to accrual. If 1 DLT was observed in the first 3 participants in a cohort, then 3 additional participants were studied. If 0 DLT was observed in those 3 (ie, 1 DLT in 6 subjects at the DL), the next higher cohort was opened for accrual. If >=2 DLT was observed in up to 6 subjects, then the maximum tolerated dose (MTD) was exceeded and the next lower DL was defined as the MTD. If 0 DLT was observed in 6 participants in a cohort and the next higher DL exceeded the MTD, then intermediate DLs would be studied. Once the MTD was determined, additional participants were enrolled into that dose group."", ""  Overall Number of Participants Analyzed: 7"", ""  Measure Type: Number"", ""  Unit of Measure: participants  1""]",Contradiction
More than 2 cases of Anaphylaxis occurred in either NCT01234337 or NCT00217672.,"[""Adverse Events 1:"", ""  Total: 80/260 (30.77%)"", ""  Anaemia * 2/260 (0.77%)"", ""  Febrile neutropenia * 0/260 (0.00%)"", ""  Neutropenia * 2/260 (0.77%)"", ""  Thrombocytopenia * 0/260 (0.00%)"", ""  Bundle branch block right * 0/260 (0.00%)"", ""  Pericardial effusion * 0/260 (0.00%)"", ""  Cardiopulmonary failure * 0/260 (0.00%)"", ""  Aplasia * 0/260 (0.00%)"", ""  Eye symptom * 1/260 (0.38%)"", ""  Abdominal discomfort * 0/260 (0.00%)"", ""Adverse Events 2:"", ""  Total: 71/267 (26.59%)"", ""  Anaemia * 2/267 (0.75%)"", ""  Febrile neutropenia * 1/267 (0.37%)"", ""  Neutropenia * 0/267 (0.00%)"", ""  Thrombocytopenia * 1/267 (0.37%)"", ""  Bundle branch block right * 1/267 (0.37%)"", ""  Pericardial effusion * 5/267 (1.87%)"", ""  Cardiopulmonary failure * 1/267 (0.37%)"", ""  Aplasia * 1/267 (0.37%)"", ""  Eye symptom * 0/267 (0.00%)"", ""  Abdominal discomfort * 1/267 (0.37%)""]",Contradiction
Patients with an FEV1 of 80% to 120% are ineligible for NCT00328783.,"[""Inclusion Criteria:"", ""  Adequate pulmonary function""]",Contradiction
The only adverse event recorded in NCT01033032 was one single case of pleural effusion.,"[""Adverse Events 1:"", ""  Total: 1/3 (33.33%)"", ""  FEBRILE NEUTROPENIA 0/3 (0.00%)"", ""  LYMPH NODE PAIN 0/3 (0.00%)"", ""  NEUTROPHIL COUNT DECREASED 0/3 (0.00%)"", ""  THROMBOCYTOPENIA 0/3 (0.00%)"", ""  CHEST PAIN 0/3 (0.00%)"", ""  DEHYDRATION 0/3 (0.00%)"", ""  PLEURAL EFFUSION 1/3 (33.33%)"", ""  PNEUMONITIS 0/3 (0.00%)"", ""  PULMONARY INFILTERATES 0/3 (0.00%)"", ""  ALOPECIA 0/3 (0.00%)""]",Entailment
on assessment 0 NCT00662025 Participants had a confirmed disappearance of all target and non-target lesions.,"[""Outcome Measurement: "", ""  Number of Participants With Objective Response Based on Data Review Committee's Assessment"", ""  Number of participants with objective response based on assessment of confirmed complete response (CR) or confirmed partial response (PR) according to Response Evaluation Criteria in Solid Tumors version 1.0 (RECIST). CR is defined as disappearance of all target and non-target lesions. PR is defined as 30% decrease in sum of the longest dimensions (LDs) of the target lesions taking as reference the baseline sum LD according to RECIST. Confirmed responses are those that persist on repeat evaluation 4 weeks after initial documentation of response."", ""  Time frame: Day 1 of Cycle 2, every 6 weeks after Cycle 2, and at the end of Cycle 8."", ""Results 1: "", ""  Arm/Group Title: SUNITINIB+CAPECITABINE"", ""  Arm/Group Description: Sunitinib was administered orally from Day 1 at the starting dose of 37.5 mg/day on a continuous daily dosing schedule in 21-day cycles. Capecitabine was administered orally from Days 1 to 14 every 21 days at a starting dose of 2,000 mg/m^2/day. Participants were monitored for toxicity, and sunitinib and/or capecitabine dosing could be interrupted or reduced according to individual tolerance. Participants with progressive disease (PD) or intolerable toxicity were considered for discontinuation from the study."", ""  Overall Number of Participants Analyzed: 63"", ""  Measure Type: Number"", ""  Unit of Measure: participants  Total Number of Participants with CR+PR: 19"", ""  Complete Response (CR): 0"", ""  Partial Response (PR): 19""]",Contradiction
"the percentage of participants achieving complete response (CR) or partial response (PR) was 6x higher in the HER2-positive group in NCT02260531, than in the ER+ and/or PR+ group.","[""Outcome Measurement: "", ""  CNS Objective Response Rate (ORR)"", ""  The central nervous system (CNS) ORR was defined as the percentage of participants achieving complete response (CR) or partial response (PR) based on RECIST 1.1 criteria in the evaluation CNS lesions on treatment: CR is complete disappearance of all target lesions and PR is at least a 30% decrease in the sum of longest diameter (LD) of target lesions, taking as reference baseline sum LD. PR or better overall response assumes at a minimum incomplete response/stable disease (SD) for the evaluation of non-target lesions and absence of new lesions."", ""  Time frame: Disease assessments occurred every 6 cycles. Patients with stable or responsive disease after completion of 6 cycles could reduce frequency of assessments to every 3 cycles. Response was evaluated up to 25 months."", ""Results 1: "", ""  Arm/Group Title: Cohort 1 - Cabozantinib, Trastuzumab for HER2+"", ""  Arm/Group Description: HER2-positive"", ""  Cabozantinib- orally administered daily per treatment cycle"", ""  Trastuzumab- IV administered once per cycle"", ""  MRI- Baseline, Cycle 2 Day 1, and every 2 cycles"", ""  Magnetic Resonance Angiography (MRA ), Baseline, Cycle 2 Day 1,"", ""  Cabozantinib: One, 60 mg tablet daily of each 21 day cycle. Number of Cycles: until progression or unacceptable toxicity develops."", ""  Trastuzumab: For HER2-Positive participants only. Administered by IV on day 1 of each 21 day cycle. Number of Cycles: until progression or unacceptable toxicity develops."", ""  Overall Number of Participants Analyzed: 21"", ""  Measure Type: Number"", ""  Unit of Measure: percentage of participants  5        (.2 to 24)"", ""Results 2: "", ""  Arm/Group Title: Cohort 2 - Cabozantinib for ER+ and/or PR+"", ""  Arm/Group Description: Hormone receptor-positive (ER+ and/or PR+)"", ""  Cabozantinib- orally administered daily per treatment cycle"", ""  MRI- Baseline, Cycle 2 Day 1, and every 2 cycles"", ""  Magnetic Resonance Angiography (MRA ), Baseline, Cycle 2 Day 1,"", ""  Cabozantinib: One, 60 mg tablet daily of each 21 day cycle. Number of Cycles: until progression or unacceptable toxicity develops."", ""  Overall Number of Participants Analyzed: 7"", ""  Measure Type: Number"", ""  Unit of Measure: percentage of participants  14        (.4 to 58)""]",Contradiction
"Participants for NCT02222337 must be in pairs, a breast cancer survivor and a caregiver, both must either be fluent in english or spanish.","[""Inclusion Criteria:"", ""  Survivors: Latina, has been diagnosed with breast cancer, speaks English or Spanish, has a Caregiver who is willing to participate."", ""  Caregivers: a primary caregiver for a Latina breast cancer survivor, speak English or Spanish""]",Entailment
1/42 patients in cohort 1 of NCT01671319 fainted.,"[""Adverse Events 1:"", ""  Total: 4/42 (9.52%)"", ""  Perforation, GI 1/42 (2.38%)"", ""  Febrile neutropenia 1/42 (2.38%)"", ""  Syncope 1/42 (2.38%)"", ""  Rash/desquamation 1/42 (2.38%)""]",Entailment
Patients with Myocardial Infarction or Deep vein thrombosis within the last 3 months are excluded from NCT01326481.,"[""Exclusion Criteria:"", ""  Angina, MI, symptomatic congestive heart failure, cerebrovascular accident, transient ischemic attack, arterial embolism, pulmonary embolism, DVT, PTCA or CABG within the past 6 months""]",Entailment
Patients must have LVEF < 50% to be eligible for NCT01904903 and NCT01663727.,"[""  LVEF < 50% and  40% documented in echocardiogram done within the last 30 days""]",Contradiction
Patients cannot be excluded from NCT00836186 on the basis of race or ethnicity.,"[""INCLUSION CRITERIA:"", ""  Women of all races and ethnic groups are eligible for this trial""]",Entailment
Patients with E2 outside the premenopausal range are ineligible for NCT00186121.,"[""  If tamoxifen administered within the past 3 months, plasma estradiol must be in the premenopausal range""]",Contradiction
"There were no observed cases of Constipation, Diarrhoea, Nausea or Febrile neutropenia within patient cohorts 1 and 2 of NCT01111825.","[""Adverse Events 1:"", ""  Total: 3/8 (37.50%)"", ""  Anaemia 0/8 (0.00%)"", ""  Febrile neutropenia 0/8 (0.00%)"", ""  Polycythaemia 0/8 (0.00%)"", ""  Acute coronary syndrome 0/8 (0.00%)"", ""  Vertigo 0/8 (0.00%)"", ""  Eyelid oedema 1/8 (12.50%)"", ""  Constipation 0/8 (0.00%)"", ""  Diarrhoea 0/8 (0.00%)"", ""  Nausea 0/8 (0.00%)"", ""  Stomatitis 0/8 (0.00%)"", ""  Upper gastrointestinal haemorrhage 0/8 (0.00%)"", ""  Vomiting 0/8 (0.00%)"", ""  Chest pain 0/8 (0.00%)"", ""Adverse Events 2:"", ""  Total: 2/6 (33.33%)"", ""  Anaemia 0/6 (0.00%)"", ""  Febrile neutropenia 0/6 (0.00%)"", ""  Polycythaemia 0/6 (0.00%)"", ""  Acute coronary syndrome 0/6 (0.00%)"", ""  Vertigo 0/6 (0.00%)"", ""  Eyelid oedema 0/6 (0.00%)"", ""  Constipation 0/6 (0.00%)"", ""  Diarrhoea 0/6 (0.00%)"", ""  Nausea 0/6 (0.00%)"", ""  Stomatitis 0/6 (0.00%)"", ""  Upper gastrointestinal haemorrhage 0/6 (0.00%)"", ""  Vomiting 0/6 (0.00%)"", ""  Chest pain 1/6 (16.67%)""]",Entailment
"NCT00394082 recorded cases of Anaphylaxis and Spinal compression fracture, neither of these were observed in NCT01033032.","[""Adverse Events 1:"", ""  Total: 13/50 (26.00%)"", ""  Febrile neutropenia 3/50 (6.00%)"", ""  Neutropenia 1/50 (2.00%)"", ""  Pancreatitis 1/50 (2.00%)"", ""  Cholangitis 1/50 (2.00%)"", ""  Cholelithiasis 1/50 (2.00%)"", ""  Anaphylactic reaction  [1]1/50 (2.00%)"", ""  Pneumonia 1/50 (2.00%)"", ""  Pneumonitis chemical 1/50 (2.00%)"", ""  Spinal compression fracture 1/50 (2.00%)"", ""  Dehydration 1/50 (2.00%)"", ""  Electrolyte imbalance 1/50 (2.00%)""]",Entailment
"To be included in NCT00217399, patients must have at least 1 unidimensionally measurable lesion, there are no size boundaries for eligibility.","[""  Measurable disease, defined as >=1 unidimensionally measurable lesion, including >= 1 of the following:"", ""  Lesion >= 10 mm on CT scan (5 mm sections)"", ""  Lesion >= 20 mm on CT scan or MRI (10 mm sections)"", ""  Lesion >= 10 mm on physical exam""]",Contradiction
Adult Patients with histologic confirmation of invasive bilateral breast carcinoma (T3 N1 M0) are eligible for NCT01097642.,"[""Inclusion Criteria:"", ""  Patients with histologic confirmation of invasive breast carcinoma."", ""  Patients greater than or equal to 18 years."", ""  Patients should have T1N1-3M0 or T2-4 N0-3M0."", ""  Patients with bilateral breast cancer are eligible.""]",Entailment
Patients with HER2 negative BC are eligible for both NCT00593827 and NCT00478257.,"[""Inclusion Criteria:"", ""  Has MBC that is measurable by RECIST or has nonmeasurable disease with serum CA27.29 (or CA15.3)  50"", ""  Has Human Epidermal Growth Factor Receptor 2 (HER2) negative breast cancer""]",Entailment
More than 18 participants in NCT01365845 had radiation dermatitis.,"[""  Radiation dermatitis 2 [1]4/18 (22.22%)""]",Contradiction
"There were no cases of Cellulitis, Nausea or Anaemia in NCT01926886.","[""Adverse Events 1:"", ""  Total: 8/101 (7.92%)"", ""  Vertigo * 1/101 (0.99%)"", ""  Infected lymphocele * 1/101 (0.99%)"", ""  Ejection fraction decreased * 5/101 (4.95%)"", ""  Lymphoedema * 1/101 (0.99%)""]",Entailment
"The most common adverse events in NCT00965523 where Infection and Stomatitis, affecting a total of 14 patients.","[""Adverse Events 1:"", ""  Total: 14/81 (17.28%)"", ""  Neutropenia1/81 (1.23%)"", ""  Cataract1/81 (1.23%)"", ""  Ascites1/81 (1.23%)"", ""  Gastritis Hemorrhagic1/81 (1.23%)"", ""  Nausea1/81 (1.23%)"", ""  Stomatitis2/81 (2.47%)"", ""  Malaise1/81 (1.23%)"", ""  Oedema1/81 (1.23%)"", ""  Pain1/81 (1.23%)"", ""  Pyrexia1/81 (1.23%)"", ""  Infection2/81 (2.47%)"", ""  Upper Limb Fracture1/81 (1.23%)"", ""  Dehydration1/81 (1.23%)"", ""  Hypercalcemia1/81 (1.23%)""]",Contradiction
Patients with a nonpalpable breast lesion and 0 palpable axillary lymph nodes are eligible for NCT00072293.,"[""  Palpable or nonpalpable breast lesion"", ""  No palpable axillary lymph node(s)""]",Entailment
Neutropenia affected the majority of patients in cohort 1 of NCT01427933.,"[""Adverse Events 1:"", ""  Neutropenia 4/69 (5.80%)""]",Contradiction
"postmenopausal women are eligible for NCT01176916, and Premenopausal women are eligible for NCT00186121.","[""Inclusion Criteria:"", ""  The patient must be postmenopausal woman.""]",Entailment
NCT00618826 and NCT02040857 only record 2 of the same adverse events.,"[""Adverse Events 1:"", ""  Lymphopenia 1/14 (7.14%)"", ""  Diarrhea 1/14 (7.14%)"", ""  Fatigue (asthenia, lethargy, malaise) 2/14 (14.29%)"", ""  Hypertension 2/14 (14.29%)""]",Contradiction
"Ae-Cha is a 32 year old Korean woman with an inoperable breast cancer, she is too old to participate in both NCT01299038 and NCT00248170.","[""Inclusion Criteria:"", ""  Recent primary surgery for breast cancer"", ""  Early stage breast cancer"", ""  Postmenopausal"", ""  Hormone receptor positive"", ""  Positive lymph node involvement"", ""Exclusion Criteria:"", ""  Metastatic disease"", ""  Presence of contralateral breast cancer including DCIS"", ""  Progression"", ""  Other protocol-defined inclusion/exclusion criteria may apply.""]",Contradiction
participants from both cohorts of NCT00706030 had a drastically lower CNS Objective Response Rate than those in NCT00171704.,"[""Outcome Measurement: "", ""  Overall Response Rate"", ""  Overall Response Rate (ORR), subjects with CR or PR by independent review in subjects with ErbB-2-positive breast cancer treated at the MTD of neratinib in combination with vinorelbine per Response Evaluation Criteria In Solid Tumors Criteria (RECIST) v1.0: Complete Response (CR), disappearance of all target lesions; Partial Response (PR), >=30% decrease in the sum of the longest diameter of target lesions; and Non-PD for non-target lesions, and no new lesions."", ""  Time frame: From first dose date to progression or last tumor assessment, up to four years and six months.""]",Contradiction
Patients eligible for NCT02964234 and NCT00246090 must live in the USA.,"[""Inclusion Criteria:"", ""  Age 52-75 years old;"", ""  Identification as Latina/Hispanic/Chicana female;"", ""  Residence in Pilsen, Little Village, East Side or South Chicago;""]",Contradiction
